Product ID,Period,Variable,Value
21A,Q3 02,W,0.0
21A,Q3 02,I,0.0
21A,Q3 02,S,0.0
21A,Q3 02,E,0.0
21A,Q3 02,SSV,0.0
21A,Q4 02,x,5089378200.0
21A,Q4 02,W,53855.854
21A,Q4 02,I,0.0
21A,Q4 02,S,0.0
21A,Q4 02,E,0.0
21A,Q4 02,SSV,0.0
21A,Q1 03,x,5928393000.0
21A,Q1 03,W,62734.317
21A,Q1 03,I,0.0
21A,Q1 03,S,0.0
21A,Q1 03,E,0.0
21A,Q1 03,SSV,0.0
21A,Q2 03,x,1690158900.0
21A,Q2 03,W,0.0
21A,Q2 03,I,0.0
21A,Q2 03,S,0.0
21A,Q2 03,E,0.0
21A,Q2 03,SSV,0.0
21A,Q3 03,x,2434860400.0
21A,Q3 03,W,0.0
21A,Q3 03,I,0.0
21A,Q3 03,S,0.0
21A,Q3 03,E,0.0
21A,Q3 03,SSV,0.0
21A,Q4 03,x,2751263400.0
21A,Q4 03,W,0.0
21A,Q4 03,I,0.0
21A,Q4 03,S,0.0
21A,Q4 03,E,0.0
21A,Q4 03,SSV,0.0
22B,Q2 95,x,0.0
22B,Q2 95,W,0.0
22B,Q2 95,I,0.0
22B,Q2 95,S,0.0
22B,Q2 95,E,0.0
22B,Q2 95,SSV,0.0
22B,Q3 95,x,1541047900.0
22B,Q3 95,W,0.0
22B,Q3 95,I,0.0
22B,Q3 95,S,0.0
22B,Q3 95,E,0.0
22B,Q3 95,SSV,0.0
22B,Q4 95,x,2358376700.0
22B,Q4 95,W,0.0
22B,Q4 95,I,0.0
22B,Q4 95,S,0.0
22B,Q4 95,E,0.0
22B,Q4 95,SSV,0.0
22B,Q1 96,x,2312831700.0
22B,Q1 96,W,0.0
22B,Q1 96,I,0.0
22B,Q1 96,S,0.0
22B,Q1 96,E,0.0
22B,Q1 96,SSV,0.0
22B,Q2 96,x,1241864100.0
22B,Q2 96,W,0.0
22B,Q2 96,I,0.0
22B,Q2 96,S,0.0
22B,Q2 96,E,0.0
22B,Q2 96,SSV,0.0
22B,Q3 96,x,2660101600.0
22B,Q3 96,W,0.0
22B,Q3 96,I,0.0
22B,Q3 96,S,0.0
22B,Q3 96,E,0.0
22B,Q3 96,SSV,0.0
22B,Q4 96,x,1588864200.0
22B,Q4 96,W,0.0
22B,Q4 96,I,0.0
22B,Q4 96,S,0.0
22B,Q4 96,E,0.0
22B,Q4 96,SSV,0.0
22B,Q1 97,x,1479807100.0
22B,Q1 97,W,0.0
22B,Q1 97,I,0.0
22B,Q1 97,S,0.0
22B,Q1 97,E,0.0
22B,Q1 97,SSV,0.0
